240.709, 129.824, 8.338, 13.553 False
240.431, 129.813, 8.337, 13.586 False
240.154, 129.802, 8.337, 13.619 False
239.876, 129.791, 8.337, 13.652 False
239.598, 129.780, 8.337, 13.685 False
239.321, 129.769, 8.337, 13.718 False
239.043, 129.759, 8.337, 13.751 False
238.765, 129.748, 8.337, 13.784 False
238.487, 129.737, 8.337, 13.817 False
238.210, 129.727, 8.337, 13.850 False
237.932, 129.716, 8.337, 13.883 False
237.654, 129.706, 8.336, 13.916 False
237.377, 129.695, 8.336, 13.949 False
237.099, 129.685, 8.336, 13.982 False
236.821, 129.675, 8.336, 14.015 False
236.544, 129.664, 8.336, 14.048 False
236.266, 129.654, 8.336, 14.081 False
235.988, 129.644, 8.336, 14.114 False
235.710, 129.634, 8.336, 14.147 False
235.433, 129.624, 8.336, 14.180 False
235.155, 129.614, 8.336, 14.213 False
234.877, 129.604, 8.336, 14.246 False
234.600, 129.595, 8.336, 14.279 False
234.322, 129.585, 8.336, 14.312 False
234.044, 129.575, 8.335, 14.345 False
233.767, 129.566, 8.335, 14.378 False
233.489, 129.556, 8.335, 14.411 False
233.211, 129.547, 8.335, 14.444 False
232.933, 129.538, 8.335, 14.477 False
232.656, 129.528, 8.335, 14.510 False
232.378, 129.519, 8.335, 14.543 False
232.100, 129.510, 8.335, 14.576 False
231.823, 129.501, 8.335, 14.609 False
231.545, 129.492, 8.335, 14.642 False
231.267, 129.484, 8.335, 14.675 False
230.990, 129.475, 8.335, 14.708 False
230.712, 129.466, 8.335, 14.741 False
230.434, 129.458, 8.335, 14.774 False
230.156, 129.449, 8.335, 14.807 False
229.879, 129.441, 8.335, 14.840 False
229.601, 129.433, 8.335, 14.873 False
229.323, 129.424, 8.335, 14.906 False
229.046, 129.416, 8.335, 14.939 False
228.768, 129.408, 8.335, 14.972 False
228.490, 129.400, 8.334, 15.005 False
228.213, 129.393, 8.334, 15.038 False
227.935, 129.385, 8.334, 15.071 False
227.657, 129.377, 8.334, 15.104 False
227.380, 129.370, 8.334, 15.137 False
227.102, 129.363, 8.334, 15.170 False
226.824, 129.356, 8.334, 15.203 False
226.546, 129.349, 8.334, 15.236 False
226.269, 129.342, 8.334, 15.269 False
225.991, 129.335, 8.334, 15.302 False
225.713, 129.328, 8.334, 15.335 False
225.435, 129.321, 8.334, 15.368 False
225.158, 129.314, 8.334, 15.401 False
224.880, 129.308, 8.334, 15.434 False
224.602, 129.301, 8.334, 15.467 False
224.325, 129.295, 8.334, 15.500 False
224.047, 129.289, 8.334, 15.533 False
223.769, 129.282, 8.334, 15.566 False
223.491, 129.276, 8.334, 15.599 False
223.214, 129.270, 8.334, 15.632 False
222.936, 129.264, 8.334, 15.665 False
222.658, 129.258, 8.334, 15.698 False
222.380, 129.252, 8.334, 15.731 False
222.103, 129.247, 8.334, 15.764 False
221.825, 129.241, 8.334, 15.797 False
221.547, 129.236, 8.334, 15.830 False
221.269, 129.230, 8.334, 15.863 False
220.992, 129.226, 8.334, 15.896 False
220.714, 129.221, 8.334, 15.929 False
220.436, 129.216, 8.334, 15.962 False
220.158, 129.211, 8.334, 15.995 False
219.881, 129.206, 8.334, 16.028 False
219.603, 129.201, 8.334, 16.061 False
219.325, 129.198, 8.333, 16.094 False
219.048, 129.193, 8.333, 16.127 False
218.770, 129.189, 8.334, 16.160 False
218.492, 129.185, 8.334, 16.193 False
218.214, 129.181, 8.334, 16.226 False
217.936, 129.177, 8.334, 16.259 False
217.659, 129.173, 8.334, 16.292 False
217.381, 129.170, 8.334, 16.325 False
217.103, 129.166, 8.334, 16.358 False
216.825, 129.162, 8.334, 16.391 False
216.548, 129.159, 8.334, 16.424 False
216.270, 129.155, 8.334, 16.457 False
215.992, 129.152, 8.333, 16.490 False
215.714, 129.149, 8.333, 16.523 False
215.436, 129.146, 8.333, 16.556 False
215.159, 129.143, 8.333, 16.589 False
214.881, 129.140, 8.333, 16.622 False
214.603, 129.137, 8.333, 16.655 False
214.325, 129.134, 8.333, 16.688 False
214.048, 129.131, 8.333, 16.721 False
213.770, 129.128, 8.333, 16.754 False
213.492, 129.126, 8.333, 16.787 False
213.214, 129.123, 8.333, 16.820 False
212.936, 129.121, 8.333, 16.853 False
212.659, 129.119, 8.333, 16.886 False
212.381, 129.116, 8.333, 16.919 False
212.103, 129.114, 8.333, 16.952 False
211.825, 129.112, 8.333, 16.985 False
211.548, 129.110, 8.333, 17.018 False
211.270, 129.108, 8.333, 17.051 False
210.992, 129.106, 8.333, 17.084 False
210.714, 129.105, 8.333, 17.117 False
210.437, 129.103, 8.333, 17.150 False
210.159, 129.101, 8.333, 17.183 False
209.881, 129.100, 8.333, 17.216 False
209.603, 129.098, 8.333, 17.249 False
209.325, 129.097, 8.333, 17.282 False
209.048, 129.095, 8.333, 17.315 False
208.770, 129.094, 8.333, 17.348 False
